id,title,address,city,type,beds,baths,rent,sqft,status,photo_folder_id,photo_urls,map_link,parking,lease_start,lat,lng,primary_photo
P022,202 CARPENTER ST,202 CARPENTER ST,,rentalkinginfo@gmail.com,6,3,RENTED,,rented,1Ca_Oq3-tqhJVdhROmcBPvsvDSwY8fdtK,https://drive.google.com/drive/folders/1Ca_Oq3-tqhJVdhROmcBPvsvDSwY8fdtK?usp=drive_link,,8,Fall 2027,"39.711414726605724, -75.11436270761872",,
P021,5 SILVER AVE,5 SILVER AVE,,rentalkinginfo@gmail.com,6,2.5,RENTED,,rented,1Y-rfu1EBpvnYoCW2DWiG3O80mnFAOcPX,https://drive.google.com/drive/folders/1Y-rfu1EBpvnYoCW2DWiG3O80mnFAOcPX?usp=drive_link,,8,Fall 2027,"39.71301822484058, -75.11316761425797",,
P019,18 N. ACADEMY ST,18 N. ACADEMY ST,,rentalkinginfo@gmail.com,7,2,3850,,available,1xm0Gl9FH2AdMbWUTOum1wAuGO3ePPN5Q,https://drive.google.com/drive/folders/1xm0Gl9FH2AdMbWUTOum1wAuGO3ePPN5Q?usp=drive_link,,8,7-1-26,"39.70299192010835, -75.10952590779482",,
P018,601 MORRIS AVE,601 MORRIS AVE,,rentalkinginfo@gmail.com,6,3,3750,,available,1SYjXZ0BCIJzm3Wc6Px_n0fZcKZInhL2n,https://drive.google.com/drive/folders/1SYjXZ0BCIJzm3Wc6Px_n0fZcKZInhL2n?usp=drive_link,,6,6-1-26,"39.71606214724719, -75.12007532295955",,
P017,7 NORMAL BLVD,7 NORMAL BLVD,,rentalkinginfo@gmail.com,6,2,3750,,available,1G5MfYkhDiqLwZum4gefZT92uwxMDnFzI,https://drive.google.com/drive/folders/1G5MfYkhDiqLwZum4gefZT92uwxMDnFzI?usp=drive_link,,6,6-1-26,"39.71213998461592, -75.11296150347391",,
P016,311 W. NEW ST,311 W. NEW ST,,rentalkinginfo@gmail.com,6,2,RENTED,,rented,1FDbZKeHo2T7X4rR2-SZjFiRtwNmtegVG,https://drive.google.com/drive/folders/1FDbZKeHo2T7X4rR2-SZjFiRtwNmtegVG?usp=drive_link,,6,Fall 2027,"39.705623233052926, -75.11535276024092",,
P015,313 HAMILTON RD,313 HAMILTON RD,,rentalkinginfo@gmail.com,6,2,3600,,available,13AxFU1_qJFvyS3aKxW19ZCwd8dRpqauL,https://drive.google.com/drive/folders/13AxFU1_qJFvyS3aKxW19ZCwd8dRpqauL?usp=drive_link,,5,8-1-26,"39.71015637064426, -75.12708901241695",,
P014,309 W. NEW ST,309 W. NEW ST,,rentalkinginfo@gmail.com,5,2.5,RENTED,,rented,1QavagCMjRk2anoVoHGTto-cBshSXGOsY,https://drive.google.com/drive/folders/1QavagCMjRk2anoVoHGTto-cBshSXGOsY?usp=drive_link,,6,Fall 2027,"39.705569581454306, -75.11520792096053",,
P029,113 STATE ST,113 STATE ST,,carmeninsana@comcast.net,5,2.5,RENTED,,rented,18JPFKTxO3ivsnu2AP7Cw47GEMPzsRfRI,https://drive.google.com/drive/folders/18JPFKTxO3ivsnu2AP7Cw47GEMPzsRfRI?usp=drive_link,,6,Fall 2027,"39.70559009861487, -75.11023876535266",,
P041,5 WILSON,5 WILSON,,bradallenjr@verizon.net,5,2,3375,,available,1YUT1EnCAeOYfh3EwBk1_cpZ6AQi1pyGc,,,6,6-1-26,"39.71443570190074, -75.11475353317036",,
P013,109 STATE ST,109 STATE ST,,rentalkinginfo@gmail.com,6,2,RENTED,,rented,19RySpKOINYk3E_m2vePTl0jwUt25s7yN,https://drive.google.com/drive/folders/19RySpKOINYk3E_m2vePTl0jwUt25s7yN?usp=drive_link,,6,Fall 2027,"39.70582158428603, -75.11001504580308",,
P012,410 W. HIGH ST,410 W. HIGH ST,,rentalkinginfo@gmail.com,5,2.5,RENTED,,rented,1iCqQMGic0yrZjeGrHWD7fG6cTzM5Fpfy,https://drive.google.com/drive/folders/1iCqQMGic0yrZjeGrHWD7fG6cTzM5Fpfy?usp=drive_link,,6,Fall 2027,"39.70433007981543, -75.11804624767404",,
P011,306 HAMILTON RD,306 HAMILTON RD,,rentalkinginfo@gmail.com,5,2.5,3250,,available,1WDXe8bmjmU63POz65qspmwU54zklyojj,https://drive.google.com/drive/folders/1WDXe8bmjmU63POz65qspmwU54zklyojj?usp=drive_link,,6,6-1-26,"39.709650839063976, -75.12659548598",,
P010,110 STATE ST,110 STATE ST,,rentalkinginfo@gmail.com,5,2,3250,,available,1tj4msqcbhj9xQ6GUxeU-vtgwdwgE2qzE,https://drive.google.com/drive/folders/1tj4msqcbhj9xQ6GUxeU-vtgwdwgE2qzE?usp=drive_link,,4,6-1-26,"39.705622579370264, -75.10971532285726",,
P009,121 STATE ST,121 STATE ST,,rentalkinginfo@gmail.com,5,2,3125,,available,1IxexLQeRFR7O82pQh0_HVKy3kSSQVv6i,https://drive.google.com/drive/folders/1IxexLQeRFR7O82pQh0_HVKy3kSSQVv6i?usp=drive_link,,6,6-1-26,"39.705793944356614, -75.1103639653526",,
P008,614 HESTON RD,614 HESTON RD,,rentalkinginfo@gmail.com,5,2,RENTED,,rented,1dj0H2wzZSrQmxPhoE2xGEupTmQIDzWhw,https://drive.google.com/drive/folders/1dj0H2wzZSrQmxPhoE2xGEupTmQIDzWhw?usp=drive_link,,5,Fall 2027,"39.716816933175636, -75.11896837797772",,
P041,7 SPANISH OAK CT - TURNERSVILLE,7 SPANISH OAK CT,CUL-DE-SAC,rentalkinginfo@gmail.com,3,2.5,RENTED,,rented,18spc0D4-i7Th1z-DooF60CFH4tJdhw6b,https://drive.google.com/drive/folders/18spc0D4-i7Th1z-DooF60CFH4tJdhw6b?usp=drive_link,,5,5-1-26,"39.73900258417586, -75.06135621816682",,
P007,146 E. HIGH ST,146 E. HIGH ST,,rentalkinginfo@gmail.com,6,2,3000,,available,1kNefDBSEYzVSAO2JAAwgMvsi4S8jVqlk,https://drive.google.com/drive/folders/1kNefDBSEYzVSAO2JAAwgMvsi4S8jVqlk?usp=drive_link,,6,7-1-26,"39.701394674486735, -75.10694294050253",,
P006,4 WEST ST,4 WEST ST,,rentalkinginfo@gmail.com,5,2,3000,,available,1SNEvgK0CV0Rmz0LQZo494ULLPTrj-zhi,https://drive.google.com/drive/folders/1SNEvgK0CV0Rmz0LQZo494ULLPTrj-zhi?usp=drive_link,,6,9-1-26,"39.70636403356793, -75.10955382436376",,
P005,122 STATE ST,122 STATE ST,,rentalkinginfo@gmail.com,4,2.5,RENTED,,rented,1gFbFT7A0g6zYv9ccUQ0jDvtFJsdihFW0,https://drive.google.com/drive/folders/1gFbFT7A0g6zYv9ccUQ0jDvtFJsdihFW0?usp=drive_link,,8,Fall 2027,"39.70591227932185, -75.10999891621618",,
P039,42 MONROE ST - SWEDESBORO,42 MONROE ST ,LOGAN TWP SCHOOLS,rentalkinginfo@gmail.com,4,2.5,2800,,available,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,2,5-1-26,"39.75323717561521, -75.35855035874928",,
P004,11 SILVER AVE,11 SILVER AVE,,rentalkinginfo@gmail.com,4,1.5,2700,,available,14jvXFrzaEyIkxMOrIX0upXr8-LnwlZLT,https://drive.google.com/drive/folders/14jvXFrzaEyIkxMOrIX0upXr8-LnwlZLT?usp=drive_link,,8,6-1-26,"39.712719004716725, -75.11375059412491",,
P040,503 N. MAIN ST - GLASSBORO,503 N MAIN ST,"1,250 Sqft",rentalkinginfo@gmail.com,,0.5,2500,,available,1IxblT5vueVfxxA7dFLUQf2hfPTRv3bgS,,,9,6-1-26,"39.7134137943268, -75.11285825682481",,
p003,50 CARPENTER ST,50 CARPENTER ST,,rentalkinginfo@gmail.com,3,2,2250,,available,1HH-D6-MgzKHZj9jF9Hh1R_zM8ZaC20MV,https://drive.google.com/drive/folders/1HH-D6-MgzKHZj9jF9Hh1R_zM8ZaC20MV?usp=drive_link,,6,6-1-26,"39.70990119569285, -75.11291440347397",,
p002,16 WEST ST,16 WEST ST,,rentalkinginfo@gmail.com,3,1,2025,,available,1oVXLPD0mAkX7lwi8eZrPO0uacuxmKc8y,https://drive.google.com/drive/folders/1oVXLPD0mAkX7lwi8eZrPO0uacuxmKc8y?usp=drive_link,,5,6-1-26,"39.70632276355425, -75.10928560347412",,
p001,9 E. NEW ST,9 E. NEW ST,,rentalkinginfo@gmail.com,3,1,1800,,available,1YprVgtq0VtjJINoVyfUpJUVDkJMH99lp,https://drive.google.com/drive/folders/1YprVgtq0VtjJINoVyfUpJUVDkJMH99lp?usp=drive_link,,3,6-1-26,"39.70520406486557, -75.11023132878663",,
Agnes1,12 Holly Ave,12 Holly Ave,,bagnes28@gmail.com,5,2,3250,,available,,,,,6-1-26,,,
Agnes 2,321 W. High St,321 W. High St,,bagnes28@gmail.com,5,2.5,3250,,available,,,,,,,,
Agnes 3,52 State St,52 State St,,bagnes28@gmail.com,4,2,3000,,available,,,,,,,,
McFadden1,613 Whitman ,613 Whitman,,,5,2.5,3250,,available,,,,,6-1-26,,,
Mcfadden2,115 Silver Ave,115 Silver Ave,,,5,2,3250,,available,,,,,6-1-26,,,
Mcfadden3,339 Oakwood Ave,339 Oakwood Ave,,rentalkinginfo@gmail.com,5,2,3250,,available,,,,,6-1-26,,,
Liscio1,,,,jfliscio22@gmail.com,,,,,available,,,,,,,,
Liscio2,,,,jfliscio22@gmail.com,,,,,available,,,,,,,,
Liscio3,,,,jfliscio22@gmail.com,,,,,available,,,,,,,,
Humbert1,408 Swarthmore Rd,408 Swarthmore Rd,,billyho68@verizon.net,6,2,3600,,available,,,,,6-1-26,,,
Humbert2,18 Wilson Ave,18 Wilson Ave,,billyho68@verizon.net,4,2,2800,,available,,,,,6-1-26,,,
Hildebrant1,207 University Blvd,207 University Blvd,,hildebrand386@gmail.com,5,2,3000,,available,,,,,6-1-26,,,
Hildebrant2,8 Sherwood Lane,8 Sherwood Lane,,hildebrand386@gmail.com,5,2,3250,,available,,,,,6-1-26,,,
Hildebrant3,8 Fairmount Dr,8 Fairmount Dr,,hildebrand386@gmail.com,5,2,2800,,available,,,,,6-1-26,,,
Omalley1,,,,,,,,,available,,,,,,,,
Omalley2,,,,,,,,,available,,,,,,,,
Insana1,306 Swarthmore Rd,306 Swarthmore Rd,,carmeninsana@comcast.net,3,2,2300,,available,,,,,6-1-26,,,
Insana2,305 N. Yale Rd,305 N. Yale Rd,,carmeninsana@comcast.net,6,3,RENTED,,rented,,,,,,,,
Insana3,308 Swarthmore Rd,308 Swarthmore Rd,,carmeninsana@comcast.net,6,4,RENTED,,rented,,,,,,,,
Insana4,107 Church St Apt A,107 Church St Apt A,,carmeninsana@comcast.net,2,1,1500,,available,,,,,11-1-25,,,
Insana5,107 Church St Apt B,107 Church St Apt B,,carmeninsana@comcast.net,2,1,1600,,available,,,,,11-1-25,,,
P035,107 E. NEW ST APT A,107 E NEW ST APT A,,rentalkinginfo@gmail.com,3,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.705335374076846, -75.10891960093483",,
P036,107 E. NEW ST APT B,107 E NEW ST APT B,,rentalkinginfo@gmail.com,1,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.705343628199685, -75.10879621932558",,
P037,109 E. NEW ST APT A,109 E NEW ST APT A,,rentalkinginfo@gmail.com,2,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.70532711995304, -75.10866210888076",,
P038,109 E. NEW ST APT B,109 E NEW ST APT B,,rentalkinginfo@gmail.com,1,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.705335374076846, -75.10856554936049",,
