id,title,address,city,type,beds,baths,rent,sqft,status,photo_folder_id,photo_urls,map_link,parking,lease_start,lat,lng,primary_photo,
Hildebrant2,207 UNIVERSITY BLVD,207 UNIVERSITY BLVD,,hildebrand386@gmail.com,5,2,3000,,available,1zH3VIMeztLkMca2nqcAfh5IgM6KIpjJT,,,5,6-1-26,"39.706618471562614, -75.12582374580296",,,
Gold11,4 WEST ST,4 WEST ST,,rentalkinginfo@gmail.com,5,2,3000,,available,1SNEvgK0CV0Rmz0LQZo494ULLPTrj-zhi,https://drive.google.com/drive/folders/1SNEvgK0CV0Rmz0LQZo494ULLPTrj-zhi?usp=drive_link,,6,9-1-26,"39.70636403356793, -75.10955382436376",,,
Jayna2,128 S. Main St,128 S. Main St,,universitycampusliving@gmail.com,4,2,3000,,available,1g4Pt1txSTHzYfh6sKFVqMtH3oP6nquFq,,,4,6-15-26,"39.69937318286572, -75.11240260046185",,,
Gold12,122 STATE ST,122 STATE ST,,rentalkinginfo@gmail.com,4,2.5,RENTED,,rented,1gFbFT7A0g6zYv9ccUQ0jDvtFJsdihFW0,https://drive.google.com/drive/folders/1gFbFT7A0g6zYv9ccUQ0jDvtFJsdihFW0?usp=drive_link,,8,,"39.70591227932185, -75.10999891621618",,,
Agnes 3,52 STATE ST,52 STATE ST,,bagnes28@gmail.com,4,2,3000,,available,1cNNaUYjo1mr4tOR7K3cw31mSZtSN66pW,,,4,6-1-26,"39.70464293054591, -75.10880543415897",,,
Insana6,305 N. Yale Rd,305 N. Yale Rd,,carmeninsana@comcast.net,6,3,RENTED,,rented,1Avbfcj03cxhf9P168vtaHEGNCBx9fwIv,,,8,,"39.708584238946244, -75.12681490347403",,,
Insana7,308 Swarthmore Rd,308 Swarthmore Rd,,carmeninsana@comcast.net,6,4,RENTED,,rented,1ScB2y2VXY8YGMIV8ffqSR7BQ8JAsQJag,,,8,,"39.70893263077625, -75.12734380347405",,,
Hildebrant3,8 Fairmount Dr,8 Fairmount Dr,,hildebrand386@gmail.com,5,2,2800,,available,1TorA5joziDp40I4lBxb1KaMlJLuZVzB7,,,5,6-1-26,"39.71830487670584, -75.1189990053227",,,
Humbert2,18 Wilson Ave,18 Wilson Ave,,billyho68@verizon.net,4,2,2800,,available,14MKCxwgf7fCRPW8CIKFqfdv0jEMplXWB,,,5,6-1-26,"39.71385660264939, -75.11499281881622",,,
Hee1,111 Franklin Rd Unit A,111 Franklin Rd Unit A,,hdrents@gmail.com,5,1.5,2800,,available,1FeHxozq4EgMGAQfvCTIA2CICJ62QbDgo,,,4,6-1-26,"39.70324280658403, -75.12563071881658",,,
Hee2,301 Oakwood Ave Unit A,301 Oakwood Ave Unit A,,hdrents@gmail.com,5,1,2800,,available,1ItgTfdodP31Y4_S4TkLfXuF1vZ4A-zta,,,4,6-1-26,"39.703208006617245, -75.11619686114547",,,
Pink9,11 SILVER AVE,11 SILVER AVE,,rentalkinginfo@gmail.com,4,1.5,2700,,available,14jvXFrzaEyIkxMOrIX0upXr8-LnwlZLT,https://drive.google.com/drive/folders/14jvXFrzaEyIkxMOrIX0upXr8-LnwlZLT?usp=drive_link,,8,6-1-26,"39.712719004716725, -75.11375059412491",,,
Caruso1,5 S Delsea Dr,5 S Delsea Dr,,acaruso777@aol.com,4,2,2700,,available,1GmH9DiS9g0A8Rj70PmPseOb3alGamoiD,,,4,6-1-26,"39.70096393550669, -75.10633728998124",,,
Hee3,301 Oakwood Ave Unit B,301 Oakwood Ave Unit B,,hdrents@gmail.com,4,2,2600,,available,1ItgTfdodP31Y4_S4TkLfXuF1vZ4A-zta,,,4,6-1-26,"39.703208006617245, -75.11619686114547",,,
Hee4,600 Heston Rd,600 Heston Rd,,hdrents@gmail.com,4,2,2600,,available,1jfSPqCALtYtUHTmNzzgCNiKxoKo56EqE,,,5,6-1-26,"39.715908288729096, -75.1202985034737",,,
Hee5,611 Whitman St,611 Whitman St,,hdrents@gmail.com,4,1.5,2600,,available,1REd8EfmMS5GCgupJk2C4HKuu8Vhrektw,,,5,6-1-26,"39.71551497156093, -75.11767564580255",,,
Hee6,608 Whitman St,608 Whitman St,,hdrents@gmail.com,4,1.5,2600,,available,1xqOEmk6jQ2ImUbNPGusNtIhjF9tJdmfU,,,4,6-1-26,"39.71504547748629, -75.11762853230934",,,
Hee7,617 Whitman St,617 Whitman St,,hdrents@gmail.com,4,1.5,2500,,available,1z-mnv507GN9myeAqX9VocEeKxeDtxMUG,,,5,6-1-26,"39.71604390003196, -75.1170667458025",,,
Hee8,607 Heston Rd,607 Heston Rd,,hdrents@gmail.com,4,1,RENTED,,rented,1BmgUUHf0KHBY54LXPOv02WNfhdCYXxT4,,,4,,"39.716576988248946, -75.12011510347362",,,
Hee9,405 Georgetown Rd,405 Georgetown Rd,,hdrents@gmail.com,5,1.5,RENTED,,rented,1IQXZRhOoPdwkqrUlk7btZ1ZRorNL6H-s,,,5,,"39.706051817525584, -75.13133376114534",,,
Gold13,503 N. MAIN ST - GLASSBORO - COMMERCIAL,503 N. MAIN ST - GLASSBORO - COMMERCIAL,"1,250 Sqft",rentalkinginfo@gmail.com,0,0.5,2500,,available,1IxblT5vueVfxxA7dFLUQf2hfPTRv3bgS,,,9,6-1-26,"39.7134137943268, -75.11285825682481",,,
Liscio1,6 Franklin Rd,6 Franklin Rd,,jfliscio22@gmail.com,4,1,RENTED,,rented,1OhyIyXbDeH7RJPBBhYGXkfNrqL370aE-,,,2,,"39.70196800780406, -75.1231136881321",,,
Hee10,206 Dickinson Rd,206 Dickinson Rd,,hdrents@gmail.com,4,2,2400,,available,1Lurp0KRhjlLyMH18mqfZMcXruFQAGVIh,,,4,6-1-26,"39.70527656445197, -75.12638496529182",,,
Jayna3,357 Oakwood Ave Apt 201,357 Oakwood Ave Apt 201,,universitycampusliving@gmail.com,3,3,2400,,available,1dg8IcZu8ehq-LlYzXFVutRMWEyBYGJ4q,,,3,8-1-26,"39.70482225383033, -75.12088580048842",,,
Jayna4,357 Oakwood Ave Apt 202,357 Oakwood Ave Apt 202,,universitycampusliving@gmail.com,3,3,2400,,available,1dg8IcZu8ehq-LlYzXFVutRMWEyBYGJ4q,,,3,8-15-26,"39.70482225383033, -75.12088580048842",,,
Jayna5,357 Oakwood Ave Apt 203,357 Oakwood Ave Apt 203,,universitycampusliving@gmail.com,3,3,2400,,available,1dg8IcZu8ehq-LlYzXFVutRMWEyBYGJ4q,,,3,7-15-26,"39.70482225383033, -75.12088580048842",,,
Jayna6,357 Oakwood Ave Apt 204,357 Oakwood Ave Apt 204,,universitycampusliving@gmail.com,3,3,2400,,available,1dg8IcZu8ehq-LlYzXFVutRMWEyBYGJ4q,,,3,8-1-26,"39.70482225383033, -75.12088580048842",,,
Hee11,12 Georgetown Rd,12 Georgetown Rd,,hdrents@gmail.com,4,1.5,RENTED,,rented,1a8-28ImFw_NIRn9Imy9nHyta1wwKoEd0,,,4,,"39.70302668036421, -75.1230822304608",,,
Hee12,613 Heston Rd,613 Heston Rd,,hdrents@gmail.com,4,1,RENTED,,rented,1gAjWtLf_iJsHa3upM14cZadU8FiFe6iP,,,4,,"39.71693467156069, -75.11956440347367",,,
Insana5,306 Swarthmore Rd,306 Swarthmore Rd,,carmeninsana@comcast.net,3,2,2300,,available,1SCtVwQKAbq_EuWkUo2DYlkAUhMmWNW64,,,5,6-1-26,"39.708771701291695, -75.127042203474",,,
Jayna7,25 Zane St Unit A,25 Zane St Unit A,,universitycampusliving@gmail.com,3,2,2300,,available,1e_18y_YJasQIFguefGqR6yvJd_q89xfu,,,3,8-15-26,"39.69972435884718, -75.11531948018954",,,
Gold14,50 CARPENTER ST,50 CARPENTER ST,,rentalkinginfo@gmail.com,3,1.5,2250,,available,1HH-D6-MgzKHZj9jF9Hh1R_zM8ZaC20MV,https://drive.google.com/drive/folders/1HH-D6-MgzKHZj9jF9Hh1R_zM8ZaC20MV?usp=drive_link,,6,6-1-26,"39.70990119569285, -75.11291440347397",,,
Gold15,16 WEST ST,16 WEST ST,,rentalkinginfo@gmail.com,3,1,2025,,available,1oVXLPD0mAkX7lwi8eZrPO0uacuxmKc8y,https://drive.google.com/drive/folders/1oVXLPD0mAkX7lwi8eZrPO0uacuxmKc8y?usp=drive_link,,5,6-1-26,"39.70632276355425, -75.10928560347412",,,
Gold16,9 E. NEW ST,9 E. NEW ST,,rentalkinginfo@gmail.com,3,1,1800,,available,1YprVgtq0VtjJINoVyfUpJUVDkJMH99lp,https://drive.google.com/drive/folders/1YprVgtq0VtjJINoVyfUpJUVDkJMH99lp?usp=drive_link,,3,6-1-26,"39.70520406486557, -75.11023132878663",,,
Caruso2,5 S Delsea Dr,5 S Delsea Dr,,acaruso777@aol.com,3,1,1800,,available,1GmH9DiS9g0A8Rj70PmPseOb3alGamoiD,,,3,7-1-26,"39.70096393550669, -75.10633728998124",,,
Jayna8,1 Pennsylvania Rd Apt 2,1 Pennsylvania Rd Apt 2,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,8-1-26,"39.7050351590367, -75.12267042002554",,,
Jayna9,1 Pennsylvania Rd Apt 4,1 Pennsylvania Rd Apt 4,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,8-15-26,"39.7050351590367, -75.12267042002554",,,
Jayna10,1 Pennsylvania Rd Apt 5,1 Pennsylvania Rd Apt 5,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,9-15-26,"39.7050351590367, -75.12267042002554",,,
Jayna11,1 Pennsylvania Rd Apt 8,1 Pennsylvania Rd Apt 8,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,9-15-26,"39.7050351590367, -75.12267042002554",,,
Jayna12,1 Pennsylvania Rd Apt 11,1 Pennsylvania Rd Apt 11,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,7-1-26,"39.7050351590367, -75.12267042002554",,,
Jayna13,1 Pennsylavania Apt 12,1 Pennsylavania Apt 12,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,6-1-26,"39.7050351590367, -75.12267042002554",,,
Jayna14,1 Pennsylvania Rd Apt 15,1 Pennsylvania Rd Apt 15,,universitycampusliving@gmail.com,2,1,1750,,available,1shchyArEwvoJeiFWhvW_hoTQlQ1S2b8t,,,1,8-15-26,"39.7050351590367, -75.12267042002554",,,
Insana9,107 Church St Apt B,107 Church St Apt B,,carmeninsana@comcast.net,2,1,RENTED,,rented,1_0HYxIkTtTd9RbX0eld4EJNe_ws1rKNk,,,2,,"39.70142448993608, -75.11512040347445",,,
Pink10,107 E. NEW ST APT A,107 E. NEW ST APT A,,rentalkinginfo@gmail.com,3,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.705335374076846, -75.10891960093483",,,
Insana8,107 Church St Apt A,107 Church St Apt A,,carmeninsana@comcast.net,2,1,RENTED,,rented,1_0HYxIkTtTd9RbX0eld4EJNe_ws1rKNk,,,2,,"39.70142448993608, -75.11512040347445",,,
Jayna15,357 Oakwood Ave Apt 101,357 Oakwood Ave Apt 101,,universitycampusliving@gmail.com,1,1,RENTED,,rented,1dg8IcZu8ehq-LlYzXFVutRMWEyBYGJ4q,,,1,,"39.70482225383033, -75.12088580048842",,,
Jayna16,357 Oakwood Ave Apt 103,357 Oakwood Ave Apt 103,,universitycampusliving@gmail.com,1,1,1400,,available,1dg8IcZu8ehq-LlYzXFVutRMWEyBYGJ4q,,,1,6-1-26,"39.70482225383033, -75.12088580048842",,,
Jayna17,126 S. Main St Apt A,126 S. Main St Apt A,,universitycampusliving@gmail.com,1,1,RENTED,,rented,1g4Pt1txSTHzYfh6sKFVqMtH3oP6nquFq,,,1,,"39.69937318286572, -75.11240260046185",,,
Jayna18,126 S. Main St Apt B,126 S. Main St Apt B,,universitycampusliving@gmail.com,1,1,1300,,available,1g4Pt1txSTHzYfh6sKFVqMtH3oP6nquFq,,,1,6-15-26,"39.69937318286572, -75.11240260046185",,,
Jayna19,126 S. Main St Apt C,126 S. Main St Apt C,,universitycampusliving@gmail.com,1,1,RENTED,,rented,1g4Pt1txSTHzYfh6sKFVqMtH3oP6nquFq,,,1,,"39.69937318286572, -75.11240260046185",,,
Jayna20,349 Oakwood Ave,349 Oakwood Ave,,universitycampusliving@gmail.com,1,1,1300,,available,1y34s5wo_4x8fznRi0NhH0pWJby3VWwFr,,,1,8-1-26,"39.70478510998917, -75.12073023237244",,,
Jayna21,351 Oakwood Ave Apt A,351 Oakwood Ave Apt A,,universitycampusliving@gmail.com,1,1,1300,,available,1y34s5wo_4x8fznRi0NhH0pWJby3VWwFr,,,1,3-1-26,"39.70478510998917, -75.12073023237244",,,
Jayna22,351 Oakwood Ave Apt C,351 Oakwood Ave Apt C,,universitycampusliving@gmail.com,1,1,1300,,available,1y34s5wo_4x8fznRi0NhH0pWJby3VWwFr,,,1,11-15-25,"39.70478510998917, -75.12073023237244",,,
Pink11,107 E. NEW ST APT B,107 E. NEW ST APT B,,rentalkinginfo@gmail.com,1,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.705343628199685, -75.10879621932558",,,
Gold17,109 E. NEW ST APT A,109 E. NEW ST APT A,,rentalkinginfo@gmail.com,2,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.70532711995304, -75.10866210888076",,,
Gold18,109 E. NEW ST APT B,109 E. NEW ST APT B,,rentalkinginfo@gmail.com,1,1,RENTED,,rented,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,4,,"39.705335374076846, -75.10856554936049",,,
Hee13,111 Franklin Rd Unit B,111 Franklin Rd Unit B,,hdrents@gmail.com,2,1,1200,,available,1FeHxozq4EgMGAQfvCTIA2CICJ62QbDgo,,,2,6-1-26,"39.70324280658403, -75.12563071881658",,,
